NPRI Number	Facility Name	Company Name	Province	City	Address	Postal Code	Rural Address	NAICS Name	NAICS Data Link	2011 Hg Emissions (kg)	2011 Cr(VI) Emissions (kg)	NPRI Data Link 	NAICS2	NAICS3	NAICS4	Latitude	Longitude
0000005615	Belleville	The Procter & Gamble Company	Ontario	Belleville	355 University Avenue	K8N5E9	0	All Other Miscellaneous Mfg.	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=339990	0.02	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000005615&amp;amp;amp;opt_report_year=2011	33	339	3399	44.19880000	-77.36360000
0000003147	Chalk River Laboratories	Atomic Energy of Canada Limited	Ontario	Chalk River	1 Plant Road	K0J1J0	0	"All Other Prof., Scientific & Tech. Services"	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=541990	0.15	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000003147&amp;amp;amp;opt_report_year=2011	54	541	5419	46.05540000	-77.36280000
0000002537	Clean Harbors Canada, Inc	Clean Harbors Canada, Inc.	Ontario	Corunna	4090 Telfer Road North	N0N1G0	0	Waste Treatment & Disposal	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=562210	0.80	0.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000002537&amp;amp;amp;opt_report_year=2011	56	562	5622	42.88040000	-82.29710000
0000004768	Algonquin Power Energy From Waste Inc.	Algonquin Power Energy From Waste Inc.	Ontario	Brampton	7656 Bramalea Road	L6T5M5	0	Waste Treatment & Disposal	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=562210	1.50	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000004768&amp;amp;amp;opt_report_year=2011	56	562	5622	43.69700000	-79.68260000
0000011033	Fluorescent Lamp Recyclers	Aevitas Inc .	Ontario	Ayr	75 Wanless Court	N0B1E0	0	All Other Waste Management Services	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=562990	0.58	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000011033&amp;amp;amp;opt_report_year=2011	56	562	5629	43.33670000	-80.44800000
0000005015	Energy From Waste Plant	PEI Energy Systems	Prince Edward Island	Charlottetown	40 Riverside Drive	C1A9M2	0	Waste Treatment & Disposal	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=562210	3.61	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000005015&amp;amp;amp;opt_report_year=2011	56	562	5622	46.25170000	-63.10787000
0000002000	Usine de Bouletage de Port-Cartier	ArcelorMittal Mines Canada	Quebec	Port-Cartier	186 Portage des Mousses	G5B2H3	0	Iron Ore Mining	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=212210	44.00	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000002000&amp;amp;amp;opt_report_year=2011	21	212	2122	50.03340000	-66.79100000
0000005459	Mines Wabush - Sept-Iles	Mines Wabush	Quebec	Sept-Îles	1505 Chemin de la Pointe Noire	G4R4L4	0	Iron Ore Mining	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=212210	10.73	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000005459&amp;amp;amp;opt_report_year=2011	21	212	2122	50.16160000	-66.48380000
0000005448	Mine Raglan	Xstrata Canada Corporation - Duplicate	Quebec	Rouyn-Noranda	0 - 120 Avenue de l'Aéroport	J9X5B7	0	Nickel-Copper Ore Mining	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=212232	0.08	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000005448&amp;amp;amp;opt_report_year=2011	21	212	2122	61.69160000	-73.66660000
0000006444	Centrale de Senneterre	Société en Commandite Boralex Énergie	Quebec	Senneterre	160 Avenue 6e	J0Y2M0	0	Other Electric Power Generation	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=221119	4.97	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000006444&amp;amp;amp;opt_report_year=2011	22	221	2211	48.38560000	-77.22130000
0000008642	Centrale de Cogénération À la Biomasse	Kruger Énergie Bromptonville S.E.C.	Quebec	Sherbrooke	220 Route de Windsor	J1C0E6	0	Other Electric Power Generation	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=221119	12.40	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000008642&amp;amp;amp;opt_report_year=2011	22	221	2211	45.48080000	-71.95190000
0000005528	Centre d'Épuration Rive-Sud	Ville de Longueuil	Quebec	Longueuil	2999 Charron	J4G1R6	0	Sewage Treatment Facilities	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=221320	1.64	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000005528&amp;amp;amp;opt_report_year=2011	22	221	2213	45.58370000	-73.48620000
0000003571	Station d'Épuration des Eaux Usées Jean-R.-Marcott	Ville de Montreal	Quebec	Montréal	12001 Boulevard Maurice-Duplessis Nord-E	H1C1V3	0	Sewage Treatment Facilities	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=221320	35.00	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000003571&amp;amp;amp;opt_report_year=2011	22	221	2213	45.67220000	-73.52500000
0000005526	Tafisa Canada	Tafisa Canada Inc.	Quebec	Lac-Mégantic	4660 Villeneuve	G6B2C3	0	Particle Board & Fibreboard Mills	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=321216	0.19	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000005526&amp;amp;amp;opt_report_year=2011	32	321	3212	45.58460000	-70.86730000
0000000983	Division Alma	Abibowcanada Inc.	Quebec	Alma	1100 Rue Melançon	G8B5W2	0	Mechanical Pulp Mills	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=322111	0.31	1.53	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000000983&amp;amp;amp;opt_report_year=2011	32	322	3221	48.56500000	-71.65580000
0000001195	Domtar Usine de Windsor	Domtar Inc.	Quebec	Windsor	609 Rang 12	J1S2L9	0	Chemical Pulp Mills	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=322112	1.00	8.24	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000001195&amp;amp;amp;opt_report_year=2011	32	322	3221	45.55420000	-71.99580000
0000002948	Site de Témiscaming	Tembec	Quebec	Témiscaming	33 Chemin Kipawa	J0Z3R0	0	Chemical Pulp Mills	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=322112	0.38	1.26	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000002948&amp;amp;amp;opt_report_year=2011	32	322	3221	46.71110000	-79.09670000
0000002502	Kruger Wayagamack Inc.	Kruger Wayagamack Inc.	Quebec	Trois-Rivières	1 Ile de la Potherie	G9A5E9	0	Paper (except Newsprint) Mills	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=322121	15.01	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000002502&amp;amp;amp;opt_report_year=2011	32	322	3221	46.35830000	-72.51850000
0000003140	Usine de la Tuque	Emballages Rocktenn-Canada, L.P.	Quebec	La Tuque	1000 Chemin de l'Usine	G9X3P8	0	Paperboard Mills	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=322130	1.45	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000003140&amp;amp;amp;opt_report_year=2011	32	322	3221	47.45000000	-72.79170000
0000003897	Raffinerie de Montreal	Suncor Energy Products Partnership	Quebec	Montreal	11701 Sherbrooke Street East	H1B1C3	0	Petroleum Refineries	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=324110	1.44	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000003897&amp;amp;amp;opt_report_year=2011	32	324	3241	45.64170000	-73.51670000
0000004039	Mansonville	Nexkemia Pétrochimie Inc.	Quebec	Mansonville	24 Bellevue	J0E1X0	0	Resin & Synthetic Rubber Mfg.	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=325210	0.02	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000004039&amp;amp;amp;opt_report_year=2011	32	325	3252	45.04860000	-72.38470000
0000005443	Anachemia Canada Co	Anachemia Canada Co	Quebec	Lachine	255 Norman Street	H8R 1A3	0	All Other Misc. Chemical Product Mfg.	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=325999	0.05	0.03	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000005443&amp;amp;amp;opt_report_year=2011	32	325	3259	45.44880000	-73.66210000
0000005544	Usine de Joliette	Holcim (Canada) Inc.	Quebec	Joliette	966 Chemin des Prairies	J6E6H7	0	Cement Mfg.	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=327310	8.61	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000005544&amp;amp;amp;opt_report_year=2011	32	327	3273	46.02970000	-73.40240000
0000005548	Cimenterie de Saint-Basile	Ciment Québec Inc.	Quebec	Saint-Basile	145 Boulevard du Centenaire	G0A3G0	0	Cement Mfg.	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=327310	5.90	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000005548&amp;amp;amp;opt_report_year=2011	32	327	3273	46.74470000	-71.81260000
0000005474	Cimenterie de Saint-Constant	Lafarge Canada Inc.	Quebec	Saint-Constant	1 Lafarge Road	J5A2G4	0	Cement Mfg.	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=327310	1.59	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000005474&amp;amp;amp;opt_report_year=2011	32	327	3273	45.33860000	-73.52180000
0000005591	Usine de Bedford	Graymont (QC) Inc.	Quebec	Bedford	1015 de la Carriere Road	J0J1A0	0	Lime Mfg.	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=327410	2.46	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000005591&amp;amp;amp;opt_report_year=2011	32	327	3274	45.11230000	-73.01290000
0000003649	Aciérie - Arcelormittal Contrecoeur	ArcelorMittal Montréal Inc.	Quebec	Contrecoeur	3900 Route des Aciéries	J0L1C0	0	Iron & Steel Mills & Ferro-Alloy Mfg.	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=331110	5.29	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000003649&amp;amp;amp;opt_report_year=2011	33	331	3311	45.83470000	-73.24720000
0000004806	Qit Complexe Métallurgique de Sorel-Tracy	Qit-Fer et Titane Inc	Quebec	Sorel-Tracy	1625 Marie-Victorin	J3R1M6	0	Iron & Steel Mills & Ferro-Alloy Mfg.	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=331110	3.49	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000004806&amp;amp;amp;opt_report_year=2011	33	331	3311	46.04470000	-73.13920000
0000002986	Arcelormittal Contrecoeur Ouest	ArcelorMittal Montréal Inc.	Quebec	Contrecoeur	2050 Route des Aciéries	J0L1C0	0	Iron & Steel Mills & Ferro-Alloy Mfg.	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=331110	21.12	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000002986&amp;amp;amp;opt_report_year=2011	33	331	3311	45.82060000	-73.26610000
0000003062	Usine Grande-Baie	Rio Tinto Alcan	Quebec	La Baie	5000 Route du Petit-Parc	G7B4G9	0	Primary Production of Alumina & Aluminum	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=331313	6.19	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000003062&amp;amp;amp;opt_report_year=2011	33	331	3313	48.30580000	-70.92670000
0000002978	Usine Vaudreuil	Rio Tinto Alcan	Quebec	Jonquiere	1955 Boulevard Mellon	G7S4L2	0	Primary Production of Alumina & Aluminum	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=331313	0.19	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000002978&amp;amp;amp;opt_report_year=2011	33	331	3313	48.42570000	-71.17180000
0000003406	Usine Arvida	Rio Tinto Alcan	Quebec	Saguenay	1955 Boulevard Mellon	G7S4L2	0	Primary Production of Alumina & Aluminum	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=331313	6.02	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000003406&amp;amp;amp;opt_report_year=2011	33	331	3313	48.42740000	-71.15990000
0000005510	Usine Alma	Rio Tinto Alcan	Quebec	Alma	3000 des Pins	G8B5W2	0	Primary Production of Alumina & Aluminum	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=331313	6.47	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000005510&amp;amp;amp;opt_report_year=2011	33	331	3313	48.58370000	-71.68890000
0000003916	Ccr Refinery	Xstrata Canada Corporation	Quebec	Montréal-Est	0 - 220 Avenue Durocher Nord-Ouest	H1B5H6	0	Non-Ferrous (except Al) Smelting & Refining	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=331410	6.14	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000003916&amp;amp;amp;opt_report_year=2011	33	331	3314	45.62830000	-73.51250000
0000002938	Société en Commandite Revenu Noranda - Valleyfield	Société en Commandite Revenu Noranda	Quebec	Salaberry de Valleyfield	860 Boulevard Gérard Cadieux	J6T 6L4	0	Non-Ferrous (except Al) Smelting & Refining	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=331410	26.21	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000002938&amp;amp;amp;opt_report_year=2011	33	331	3314	45.22830000	-74.09810000
0000004799	Magotteaux Ltée	Magotteaux Ltée.	Quebec	Magog	601 Rue Champlain	J1X2N1	0	Iron Foundries	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=331511	1.61	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000004799&amp;amp;amp;opt_report_year=2011	33	331	3315	45.27170000	-72.14440000
0000004797	Les Forges de Sorel Cie - St-Joseph-de-Sorel	Les Forges de Sorel Cie	Quebec	St-Joseph-de-Sorel	100 McCarthy	J3R3M8	0	Steel Foundries	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=331514	0.10	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000004797&amp;amp;amp;opt_report_year=2011	33	331	3315	46.04500000	-73.12390000
0000004402	La Corporation Newalta Vsc	La Corporation Newalta	Quebec	Ste Catherine	1200 Rue Garnier	J5C1B4	0	Non-Ferrous Foundries (except Die-Casting)	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=331529	9.58	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000004402&amp;amp;amp;opt_report_year=2011	33	331	3315	45.40000000	-73.60000000
0000003623	Fonderie Horne	Xstrata Canada Corporation	Quebec	Rouyn-Noranda	101 Avenue Portelance	J9X5B6	0	Non-Ferrous Foundries (except Die-Casting)	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=331529	28.20	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000003623&amp;amp;amp;opt_report_year=2011	33	331	3315	48.25420000	-79.01670000
0000001816	Osram Sylvania Ltée	Osram Sylvania	Quebec	Drummondville	1 Sylvan	J2C2S8	0	Electric Lamp Bulb & Parts Mfg.	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=335110	2.95	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000001816&amp;amp;amp;opt_report_year=2011	33	335	3351	45.87330000	-72.49860000
0000005561	Installations Portuaires et Services Ferroviaires	Rio Tinto Alcan	Quebec	La Baie	262 1ère	G7B3R1	0	Short-Haul Freight Rail Transportation	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=482112	0.46	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000005561&amp;amp;amp;opt_report_year=2011	48	482	4821	48.33350000	-70.87840000
0000005546	Incinérateur de Lévis	Ville de Lévis	Quebec	Lévis	259 Chemin des Îles	G6V7M5	0	Waste Treatment & Disposal	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=562210	0.96	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000005546&amp;amp;amp;opt_report_year=2011	56	562	5622	46.75070000	-71.17620000
0000005449	Clean Harbors Mercier, Inc.	Clean Harbors Canada, Inc.	Quebec	Mercier	1294 Boulevard Sainte-Marguerite	J6R2L1	0	Waste Treatment & Disposal	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=562210	105.23	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000005449&amp;amp;amp;opt_report_year=2011	56	562	5622	45.28680000	-73.73140000
0000002079	Poplar River Power Station	Saskatchewan Power Corporation	Saskatchewan	Coronach	0 -	S0H0Z0	0	Fossil-Fuel Electric Power Generation	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=221112	186.00	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000002079&amp;amp;amp;opt_report_year=2011	22	221	2211	49.04720000	-105.48830000
0000002081	Boundary Dam Power Station	Saskatchewan Power Corporation	Saskatchewan	Estevan		S4A2A6	0	Fossil-Fuel Electric Power Generation	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=221112	256.00	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000002081&amp;amp;amp;opt_report_year=2011	22	221	2211	49.04220000	-103.03230000
0000002083	Shand Power Station	Saskatchewan Power Corporation	Saskatchewan	Estevan	0 -	S4A2K9	0	Fossil-Fuel Electric Power Generation	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=221112	106.00	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000002083&amp;amp;amp;opt_report_year=2011	22	221	2211	49.08790000	-102.86400000
0000002740	Evraz Inc Na Canada - Regina Facilities	Evraz Inc Na Canada	Saskatchewan	Regina	100 Armour Road	S4P3C7	0	Iron & Steel Mills & Ferro-Alloy Mfg.	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=331110	108.05	0.62	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000002740&amp;amp;amp;opt_report_year=2011	33	331	3311	50.51560000	-104.62580000
0000004048	Co-Op Refinery Complex	Consumers' Co-Operative Refineries Limited	Saskatchewan	Regina	550 East 9th Avenue North	S4N7B3	0	Petroleum Refineries	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=324110	24.36	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000004048&amp;amp;amp;opt_report_year=2011	32	324	3241	50.48430000	-104.57940000
